TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P023_01,P023_04,P023_07
02,01,01,01,00101,0025,2869942,1,4.0,010109
02,01,01,01,00101,0058,3206146,1,5.0,010111
02,01,01,01,00101,0062,3206155,1,3.0,010114
02,01,01,01,00102,0023,0244720,1,120.0,010506
02,01,01,01,00102,0024,0244719,1,32.0,010509
02,01,01,01,00102,0034,3205771,1,4.0,010606
02,01,01,01,00102,0054,3591635,1,30.0,010514
02,01,01,01,00102,0060,3591623,1,2.0,010501
02,01,01,01,00102,0063,2869892,1,2.25,010108
02,01,01,01,00102,0065,3591626,1,6.0,010111
02,01,01,01,00102,0076,3205390,1,8.0,010111
02,01,01,01,00102,0078,3205384,1,8.0,010511
02,01,01,01,00102,0084,3205742,1,1.0,010501
02,01,01,01,00102,0119,0244704,1,20.0,010115
02,01,01,01,00102,0122,2869884,1,30.0,010601
02,01,01,01,00102,0126,3340470,1,0.25,010504
02,01,01,01,00102,0126,3340470,2,0.9,010504
02,01,01,01,00102,0132,0244701,1,6.0,010508
02,01,01,01,00102,0134,0244718,1,50.0,010121
02,01,01,01,00102,0145,2869881,1,3.0,140113
02,01,01,02,00100,0009,3365229,2,2.0,010116
02,01,01,02,00100,0009,3365229,1,10.0,010116
02,01,01,02,00100,0049,2939018,1,4.0,010609
02,01,01,02,00100,0057,3365210,1,6.0,010307
02,01,01,02,00100,0067,2939127,1,5.0,010105
02,01,01,02,00100,0068,2939125,1,5.0,010309
02,01,01,02,00100,0073,2939103,1,4.0,010116
02,01,01,02,00100,0076,2939102,1,30.0,010117
02,01,01,02,00100,0089,2939007,1,2.0,220802
02,01,01,02,00100,0091,3365205,1,7.0,010308
02,01,01,02,00100,0096,3365215,2,3.0,010301
02,01,01,02,00100,0096,3365215,1,25.0,010308
02,01,01,02,00100,0097,3365214,2,12.0,010301
02,01,01,02,00100,0097,3365214,1,15.0,010308
02,01,01,02,00100,0098,3365216,1,10.0,010301
02,01,01,02,00100,0098,3365216,2,4.5,010308
02,01,01,02,00100,0098,3365216,3,10.0,010302
02,01,01,02,00100,0102,2939116,1,10.0,010116
02,01,01,02,00100,0105,2939110,1,15.0,010116
02,01,01,02,00100,0105,2939110,2,20.0,010116
02,01,01,02,00100,0105,2939110,3,18.0,010116
02,01,01,02,00100,0106,2939107,1,4.0,010116
02,01,01,02,00100,0106,2939107,2,1.0,010116
02,01,01,02,00100,0111,2939115,1,5.0,010301
02,01,01,02,00100,0112,2939105,1,15.0,010116
02,01,01,02,00100,0115,2939106,4,15.0,010301
02,01,01,02,00100,0115,2939106,3,2.0,010301
02,01,01,02,00100,0115,2939106,1,15.0,010301
02,01,01,02,00100,0115,2939106,5,5.0,010301
02,01,01,02,00100,0115,2939106,2,3.0,010301
02,01,01,02,00100,0115,2939106,6,3.0,010301
02,01,01,03,00101,0036,3204497,1,0.098,060311
