TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P042_01,P042_03,P042_04,P043,P044_01
06,01,01,01,00101,0001,2869980,1,7,2611,1,0.25
06,01,01,01,00101,0002,2869973,1,5,2614,1,1.0
06,01,01,01,00101,0002,2869973,2,11,2108,2,1.0
06,01,01,01,00101,0003,2869979,1,6,4211,1,0.01
06,01,01,01,00101,0005,2869976,1,7,2326,1,0.05
06,01,01,01,00101,0005,2869976,2,7,2319,1,0.02
06,01,01,01,00101,0005,2869976,3,5,4211,1,0.2
06,01,01,01,00101,0006,2869975,1,5,2319,1,0.15
06,01,01,01,00101,0006,2869975,2,3,4211,1,0.01
06,01,01,01,00101,0007,2869969,1,5,2401,2,0.25
06,01,01,01,00101,0008,2869972,1,11,2108,2,0.25
06,01,01,01,00101,0009,2869971,1,10,2611,2,0.25
06,01,01,01,00101,0010,2869961,1,9,2108,2,0.5
06,01,01,01,00101,0011,2869962,1,2,2612,1,0.5
06,01,01,01,00101,0012,2869968,1,10,2612,1,0.25
06,01,01,01,00101,0012,2869968,2,3,4211,1,0.01
06,01,01,01,00101,0013,2869959,1,4,2612,2,1.25
06,01,01,01,00101,0013,2869959,2,11,2107,2,1.0
06,01,01,01,00101,0014,2869974,1,7,2614,1,0.25
06,01,01,01,00101,0015,2869970,1,10,2108,1,0.5
06,01,01,01,00101,0016,2869963,1,12,2614,2,0.2
06,01,01,01,00101,0017,2869960,1,11,2108,2,0.25
06,01,01,01,00101,0017,2869960,2,2,4211,2,0.1
06,01,01,01,00101,0018,2869958,1,10,2108,2,0.75
06,01,01,01,00101,0019,2869952,1,11,2108,2,2.0
06,01,01,01,00101,0020,2869954,1,3,4211,1,0.04
06,01,01,01,00101,0021,2869953,1,11,2614,2,0.1
06,01,01,01,00101,0022,2869965,1,5,4211,2,0.1
06,01,01,01,00101,0023,2869978,1,11,2108,2,0.25
06,01,01,01,00101,0023,2869978,2,6,2611,2,0.1
06,01,01,01,00101,0024,2869956,1,10,2108,2,0.25
06,01,01,01,00101,0026,2869946,1,3,2319,2,0.04
06,01,01,01,00101,0027,2869945,1,11,2107,2,0.1
06,01,01,01,00101,0028,2869948,1,12,2107,2,0.01
06,01,01,01,00101,0029,2869996,1,10,2107,2,0.25
06,01,01,01,00101,0030,2869955,1,7,2614,1,0.18
06,01,01,01,00101,0032,2869957,1,5,2701,1,0.1
06,01,01,01,00101,0033,2869951,1,5,2319,1,0.1
06,01,01,01,00101,0034,2869981,1,5,2614,1,0.0024
06,01,01,01,00101,0034,2869981,2,6,2611,1,0.0025
06,01,01,01,00101,0034,2869981,3,6,2401,1,0.0024
