TIPO_REC,P001,P002,P003,P007X,P008,NPRIN,P117_01,P117_02,P117_03,P117_04,P117_05,P117_06,P118,P119,P120_01,P120_02,P121,P121_01
11,01,01,01,00101,0001,2869980,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0002,2869973,2,2,2,2,2,2,1,2,1,2,0.0,
11,01,01,01,00101,0003,2869979,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0004,2869977,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0005,2869976,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0006,2869975,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0007,2869969,2,1,2,2,2,2,1,2,1,1,,2.0
11,01,01,01,00101,0008,2869972,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0009,2869971,2,2,1,2,2,2,2,2,2,2,0.0,
11,01,01,01,00101,0010,2869961,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0011,2869962,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,01,01,00101,0012,2869968,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0013,2869959,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,01,01,00101,0014,2869974,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,01,01,00101,0015,2869970,2,1,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0016,2869963,2,2,2,2,2,1,4,2,2,2,0.0,
11,01,01,01,00101,0017,2869960,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0018,2869958,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0019,2869952,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0020,2869954,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0021,2869953,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0022,2869965,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0023,2869978,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0024,2869956,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0025,2869942,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0026,2869946,1,1,2,2,2,2,5,2,2,2,0.0,
11,01,01,01,00101,0027,2869945,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0028,2869948,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0029,2869996,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0030,2869955,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0031,2869998,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0032,2869957,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0033,2869951,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0034,2869981,2,1,2,2,2,2,4,1,2,2,0.0,
11,01,01,01,00101,0035,2869982,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0036,2869966,2,2,2,2,2,2,3,2,2,2,,2.0
11,01,01,01,00101,0037,2869941,2,2,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0038,2869994,2,2,2,2,2,2,3,1,2,2,0.0,
11,01,01,01,00101,0039,2869964,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0040,2869944,2,1,2,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0041,2869993,2,1,2,2,2,2,2,2,2,2,0.0,
11,01,01,01,00101,0042,2869999,2,1,2,2,2,2,2,2,2,2,0.0,
11,01,01,01,00101,0043,2869943,2,2,1,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0044,2869995,2,2,1,2,2,2,3,2,2,2,0.0,
11,01,01,01,00101,0045,2869984,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0046,2869983,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0047,2869985,2,2,1,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0048,2869986,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0049,2869987,2,2,1,2,1,2,4,2,2,2,0.0,
11,01,01,01,00101,0050,2870000,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0051,2869947,2,2,2,2,2,2,1,2,1,1,,2.0
11,01,01,01,00101,0052,2869950,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0053,2869991,2,2,2,2,2,2,2,2,2,2,,2.0
11,01,01,01,00101,0054,3206141,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0055,3206142,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0056,3206143,2,2,2,2,2,2,2,2,1,2,,2.0
11,01,01,01,00101,0057,3206144,2,1,2,2,2,2,3,2,2,2,,2.0
11,01,01,01,00101,0058,3206146,2,2,2,2,2,2,5,2,1,2,,2.0
11,01,01,01,00101,0059,3206150,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,01,01,00101,0060,3206152,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,01,01,00101,0061,3206154,2,2,2,2,2,2,1,2,1,1,,2.0
11,01,01,01,00101,0062,3206155,2,2,2,2,2,2,2,2,1,2,,2.0
11,01,01,01,00101,0063,2869992,2,2,2,2,2,2,1,2,1,2,,2.0
11,01,01,01,00101,0064,3205546,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0065,3206158,2,1,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0066,3205548,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0067,3206160,2,2,2,2,2,2,5,2,2,2,0.0,
11,01,01,01,00101,0068,3206159,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0069,2869988,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0070,3207020,2,2,2,2,2,2,4,1,2,2,1.0,
11,01,01,01,00101,0071,2869902,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0072,3207016,2,1,2,2,2,1,4,2,2,2,0.0,
11,01,01,01,00101,0073,2869989,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0074,2869949,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0075,3206156,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0076,3206157,2,2,2,2,2,2,2,2,1,2,0.0,
11,01,01,01,00101,0077,2869967,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0078,2869990,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0079,3205541,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0080,3205549,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0081,3205550,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0082,3207008,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0083,3207009,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0084,3207011,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0085,3205542,2,2,1,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0086,3205543,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0087,3205544,2,1,2,2,2,2,4,1,2,2,0.0,
11,01,01,01,00101,0088,3205545,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0089,3205547,2,1,2,2,2,2,4,1,2,2,0.0,
11,01,01,01,00101,0090,3207003,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0091,3207002,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0092,2869901,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0093,3207012,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0094,3207013,2,1,1,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0095,3207014,2,2,2,2,2,1,4,2,2,2,0.0,
11,01,01,01,00101,0096,3207015,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0097,3207017,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0098,3207018,2,2,1,2,2,2,5,1,2,2,0.0,
11,01,01,01,00101,0099,3206153,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0100,2869911,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0101,3207001,2,1,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0102,3207004,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0103,3207005,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0104,3207019,2,2,1,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0105,3207006,2,1,2,2,1,2,7,2,2,2,0.0,
11,01,01,01,00101,0106,3207007,2,2,1,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0107,2869903,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0108,2869904,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0109,2869905,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0110,2869906,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0111,2869907,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0112,2869908,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0113,2869909,2,2,2,2,2,2,7,2,2,2,3.0,
11,01,01,01,00101,0114,2869910,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0115,2869912,2,2,2,2,2,2,7,2,2,2,3.0,
11,01,01,01,00101,0116,2869913,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0117,2869914,2,2,2,2,2,2,7,2,2,2,3.0,
11,01,01,01,00101,0118,2869916,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0119,2869915,2,2,2,2,2,2,4,2,2,2,3.0,
11,01,01,01,00101,0120,2869917,2,1,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0121,2869918,2,2,2,2,2,2,7,2,2,2,4.0,
11,01,01,01,00101,0122,2869919,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0123,2869920,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0124,2869921,2,2,2,2,2,2,4,2,2,2,1.0,
11,01,01,01,00101,0125,2869922,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0126,2869923,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0127,2869924,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0128,2869925,2,2,2,2,1,2,4,2,2,2,2.0,
11,01,01,01,00101,0129,2869926,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0130,2869938,2,2,2,2,2,2,7,2,2,2,3.0,
11,01,01,01,00101,0131,2869928,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0132,2869929,2,2,1,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0133,2869930,2,2,2,2,2,2,7,2,2,2,0.0,
11,01,01,01,00101,0134,2869931,2,2,2,2,2,2,7,2,2,2,2.0,
11,01,01,01,00101,0135,2869932,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,01,01,00101,0136,2869934,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,01,01,00101,0137,2869935,2,2,2,2,2,2,4,2,2,2,,2.0
11,01,01,01,00101,0138,2869936,2,2,2,2,2,2,2,2,1,2,,2.0
11,01,01,01,00101,0139,2869927,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00101,0140,2869937,2,2,2,2,2,2,2,2,1,2,,2.0
11,01,01,01,00102,0001,2869700,2,2,2,2,2,2,4,1,2,2,0.0,
11,01,01,01,00102,0002,2869692,2,2,2,2,2,2,1,2,1,2,,2.0
11,01,01,01,00102,0003,2869693,2,2,2,2,2,2,1,1,1,1,2.0,
11,01,01,01,00102,0004,2869694,2,2,2,2,2,2,5,2,2,2,0.0,
11,01,01,01,00102,0005,2869695,2,2,2,2,2,2,4,2,2,2,0.0,
11,01,01,01,00102,0006,2869690,2,2,2,2,2,2,1,2,2,2,2.0,
11,01,01,01,00102,0007,2869698,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,01,01,00102,0008,2869691,2,2,1,2,2,2,1,2,2,2,,2.0
11,01,01,01,00102,0009,2869683,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,01,01,00102,0010,2869699,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,01,01,00102,0011,2869696,2,2,2,2,2,2,1,2,2,2,,2.0
11,01,01,01,00102,0012,2869682,2,2,2,2,2,2,1,2,2,2,,2.0
